Symbol,scriptcode,previousclose,buyval,sellval,stoplossval,tp1,tp2,tp3,tp1qty,tp2qty,tp3qty,slqty,totalqty,stoplos_bool,tp1_bool,tp2_bool,tp3_bool,tradetype,tslstep,tslmove,tslval,slpts
HINDALCO,1363,533.7,589.7385,474.99300000000005,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HINDCOPPER,17939,269.1,297.3555,239.49900000000002,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HINDPETRO,1406,511.85,565.59425,455.54650000000004,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HINDZINC,1424,308.4,340.782,274.476,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HLEGLAS,2289,478.0,528.19,425.42,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HONAUT,3417,37289.9,41205.3395,33188.011,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HUDCO,20825,195.45,215.97224999999997,173.95049999999998,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IBULHSGFIN,30125,174.15,192.43575,154.9935,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ICICIBANK,4963,1078.7,1191.9635,960.043,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ICICIPRULI,18652,600.3,663.3315,534.2669999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IDBI,1476,84.1,92.9305,74.84899999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IDEA,14366,13.75,15.19375,12.2375,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IDFC,11957,114.2,126.191,101.638,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IGL,11262,423.85,468.35425000000004,377.22650000000004,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
IIFL,11809,390.2,431.171,347.278,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
INDIANB,14309,548.0,605.54,487.72,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
INDUSINDBK,5258,1541.05,1702.86025,1371.5345,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
INDUSTOWER,29135,247.45,273.43225,220.23049999999998,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
INFIBEAM,16249,39.95,44.14475,35.5555,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
